EbN0_dB,BER
0.0,0.3385416666666667
1.0,0.3212857142857143
2.0,0.3028214285714286
3.0,0.27830357142857143
4.0,0.25979166666666664
5.0,0.23830357142857142
6.0,0.21218452380952382
7.0,0.19082142857142856
8.0,0.16642857142857143
9.0,0.14685714285714285
10.0,0.12524404761904762
11.0,0.10721428571428572
12.0,0.09111309523809524
13.0,0.07967857142857143
14.0,0.06701785714285714
15.0,0.057898809523809526
16.0,0.05168452380952381
17.0,0.04456547619047619
18.0,0.03833333333333333
19.0,0.034220238095238095
20.0,0.030214285714285714
