EbN0_dB,BER
0.0,0.30572916666666666
1.0,0.2883720238095238
2.0,0.2706354166666667
3.0,0.25242261904761903
4.0,0.23446279761904762
5.0,0.21482142857142858
6.0,0.19604613095238096
7.0,0.1764092261904762
8.0,0.15876339285714286
9.0,0.14053869047619047
10.0,0.12370833333333334
11.0,0.10827678571428571
12.0,0.0922172619047619
13.0,0.07868005952380952
14.0,0.06471428571428571
15.0,0.05204761904761905
16.0,0.040102678571428574
17.0,0.02956845238095238
18.0,0.02062202380952381
19.0,0.013703869047619048
20.0,0.007775297619047619
