EbN0_dB,BER
0.0,0.3059880952380952
1.0,0.2875610119047619
2.0,0.27045386904761903
3.0,0.25290029761904764
4.0,0.23388095238095238
5.0,0.2152485119047619
6.0,0.19630505952380953
7.0,0.17658333333333334
8.0,0.1584732142857143
9.0,0.14052827380952382
10.0,0.12402380952380952
11.0,0.10682589285714286
12.0,0.09205654761904762
13.0,0.07818005952380952
14.0,0.06451934523809524
15.0,0.05179464285714286
16.0,0.03977529761904762
17.0,0.029470238095238094
18.0,0.02076339285714286
19.0,0.01347172619047619
20.0,0.00790327380952381
