EbN0_dB,BER
0.0,0.21226488095238094
1.0,0.18789880952380952
2.0,0.16443154761904763
3.0,0.13885416666666667
4.0,0.11651785714285715
5.0,0.09456845238095238
6.0,0.07511607142857143
7.0,0.055648809523809524
8.0,0.039419642857142854
9.0,0.02676190476190476
10.0,0.016288690476190477
11.0,0.008770833333333334
12.0,0.004419642857142857
13.0,0.0018720238095238095
14.0,0.0007410714285714286
15.0,0.00018452380952380953
16.0,5.357142857142857e-05
17.0,1.785714285714286e-05
18.0,2.9761904761904763e-06
19.0,0.0
20.0,0.0
