EbN0_dB,BER
0.0,0.26641269841269843
1.0,0.24460714285714286
2.0,0.2213075396825397
3.0,0.1968015873015873
4.0,0.17689484126984126
5.0,0.15740674603174604
6.0,0.13765873015873015
7.0,0.11744444444444445
8.0,0.09996626984126984
9.0,0.08255555555555555
10.0,0.06772222222222223
11.0,0.05190873015873016
12.0,0.03844642857142857
13.0,0.026484126984126985
14.0,0.017234126984126984
15.0,0.010204365079365079
16.0,0.00581547619047619
17.0,0.0028313492063492063
18.0,0.0011865079365079366
19.0,0.0004662698412698413
20.0,0.00011507936507936508
